#HIP (Name), V (mag)
77622,3.728
77634,3.954
77655,4.919
77760,4.672
77853,4.244
77952,2.869
78159,4.275
78180,4.994
78527,4.064
78554,4.825
78639,4.745
78662,4.688
78914,4.75
79101,4.227
79119,4.847
79375,4.951
79593,2.919
79822,4.999
79881,4.795
79882,3.342
80000,4.132
80170,3.77
80179,4.854
80181,4.96
80331,2.831
80343,4.598
80463,4.575
80628,4.657
80686,4.97
80816,2.885
80883,3.901
80894,4.39
80975,4.457
81065,3.968
81693,2.919
81833,3.583
81852,4.352
82020,4.885
82321,4.833
82369,4.693
82673,4.352
82729,3.773
82860,4.936
83000,3.322
83207,3.905
83608,4.89
83613,4.896
84012,2.438
84143,3.368
84379,3.136
84514,4.867
84606,4.628
84880,4.341
85340,4.195
85365,4.577
85423,4.326
85727,3.58
85792,2.824
85819,4.913
85822,4.352
85829,4.894
86032,2.106
86170,4.387
86201,4.824
86263,3.566
86486,4.806
86565,4.253
86614,4.613
86736,4.918
86742,2.899
86974,3.501
87108,3.751
87261,3.321
87585,3.867
87833,2.413
87933,3.802
88048,3.433
88175,4.671
88726,4.857
88765,4.748
88771,3.737
88866,4.357
89642,3.312
89826,4.449
89937,3.624
89962,3.352
90135,4.773
90139,3.979
90185,1.81
90422,3.461
90496,2.945
90568,4.224
91117,4.003
91726,4.744
91792,4.133
91919,4.66
91926,4.561
91971,4.358
92024,4.799
92041,3.152
92043,4.259
92088,4.96
92161,4.36
92855,2.044
92946,4.631
93026,4.941
93174,4.872
93244,4.138
93429,4.144
93506,2.617
93542,4.732
93683,3.879
93747,2.991
93805,3.419
93864,3.448
94005,4.698
94114,4.109
94376,3.188
94648,4.594
94779,3.9
95081,4.588
95168,3.959
95294,4.314
95347,3.941
95501,3.405
95853,3.785
96100,4.756
96229,4.585
96441,4.543
96465,4.592
96683,4.787
97165,2.898
97290,4.999
97433,3.897
97649,0.955
97938,4.833
98032,4.241
98036,3.814
98110,4.016
98495,3.949
98543,4.681
99655,4.294
99742,4.954
99770,4.97
100064,3.684
100587,4.58
100751,1.898
101027,4.838
101093,4.235
101589,4.675
101612,4.788
101769,3.676
101772,3.221
101773,4.906
101867,4.803
101958,3.766
102281,4.463
102333,4.546
102395,3.443
102422,3.525
102431,4.579
102453,4.344
102485,4.194
102488,2.6
102532,4.378
102618,3.771
103004,4.662
103045,4.755
103738,4.769
104019,4.873
104139,4.075
104459,4.618
104521,4.741
104732,3.312
