id,ra,dec,mjd,cmag,cerr,filter
169.42996,185.431153710299,-31.9953218416935,57111.9971786295,21.8072,0.0965106,g
169.42996,185.431156362057,-31.9953223024607,57111.9992403332,21.4923,0.0670274,r
169.42996,185.431154987972,-31.9953206291853,57112.0013076249,21.5489,0.0656457,i
169.42996,185.431151623852,-31.9953222076334,57112.0033616214,21.8762,0.0997278,g
169.42996,185.431152529189,-31.9953206304506,57112.0054308516,21.5753,0.0586993,r
169.42996,185.431153418094,-31.9953204761223,57112.0075064898,21.3724,0.0524221,i
169.42996,185.431154804148,-31.9953218378859,57112.0095641157,21.9713,0.0971145,g
169.42996,185.431154030954,-31.9953221946729,57112.0116130942,21.5293,0.0627128,r
169.42996,185.431154920834,-31.9953211777616,57112.0136724166,21.4907,0.0502547,i
169.42996,185.431148499751,-31.9953219086331,57112.0157284741,22.0117,0.10767,g
169.42996,185.431153547523,-31.9953209882993,57112.0177943958,21.5074,0.0519766,r
169.42996,185.431153473512,-31.9953208917578,57112.0198572753,21.4712,0.0533523,i
169.42996,185.431152372889,-31.9953246715607,57112.0219242978,21.8131,0.0882672,g
169.42996,185.43115287414,-31.995322474041,57112.023975885,21.5757,0.0534817,r
169.42996,185.431154644356,-31.9953204012176,57112.0260531213,21.6669,0.0555237,i
169.42996,185.431149943966,-31.9953213385284,57112.0281114378,21.9789,0.101136,g
169.42996,185.431153177108,-31.995320506434,57112.0301609281,21.6343,0.0563916,r
169.42996,185.431152485388,-31.9953208527164,57112.0322259073,21.5486,0.0605833,i
169.42996,185.431153512387,-31.9953229522213,57112.0342801693,21.9503,0.0904795,g
169.42996,185.431153166129,-31.9953217345922,57112.0363385552,21.5466,0.0511739,r
169.42996,185.431153053498,-31.9953205898012,57112.0384006505,21.485,0.0599628,i
169.42996,185.431150473272,-31.9953218668178,57112.0404686662,22.0077,0.10003,g
169.42996,185.431151751166,-31.9953211157943,57112.0425362471,21.6004,0.0506722,r
169.42996,185.431151953809,-31.9953215018304,57112.0446067192,21.6291,0.0663699,i
169.42996,185.431153008132,-31.9953227460553,57112.0466730967,22.1121,0.108777,g
169.42996,185.431152475274,-31.9953219036783,57112.0487197316,21.6336,0.0533814,r
169.42996,185.431152999983,-31.9953210775051,57112.0507880109,21.606,0.0558325,i
169.42996,185.431149261633,-31.9953221059604,57112.0528498446,22.0745,0.0890729,g
169.42996,185.431152409041,-31.9953202561946,57112.0549084283,21.5679,0.0545854,r
169.42996,185.43115230145,-31.99532059588,57112.05696839,21.5919,0.0576915,i
169.42996,185.431151922781,-31.9953230944165,57112.0590385529,22.0606,0.0932949,g
169.42996,185.431152508202,-31.9953210576914,57112.0610968918,21.5617,0.0441502,r
169.42996,185.431153765983,-31.9953196938869,57112.063155693,21.5327,0.0446812,i
169.42996,185.431150405489,-31.9953221525181,57112.0652102721,21.9084,0.0691674,g
169.42996,185.431153575365,-31.9953207655374,57112.0672743404,21.6084,0.0502709,r
169.42996,185.431153343079,-31.9953202045995,57112.0693373554,21.499,0.0470546,i
169.42996,185.431154824144,-31.9953222958041,57112.0714059803,22.0014,0.0800249,g
169.42996,185.431153939713,-31.9953215740979,57112.0734638181,21.5719,0.0504715,r
169.42996,185.431154621463,-31.995321369554,57112.0755250268,21.5974,0.0547996,i
169.42996,185.431152716612,-31.9953211385721,57112.0776034752,21.8219,0.0769075,g
169.42996,185.431153688894,-31.9953212118766,57112.0796615835,21.5327,0.0481637,r
169.42996,185.431153758558,-31.9953206021853,57112.0817245808,21.548,0.0487069,i
169.42996,185.431153839132,-31.9953214311522,57112.0837727441,21.8444,0.0682623,g
169.42996,185.431155315926,-31.9953214830353,57112.085850562,21.4749,0.0397354,r
169.42996,185.431153342249,-31.9953216373685,57112.0879196981,21.5098,0.0436489,i
169.42996,185.431150712949,-31.9953204749162,57112.0899750348,21.8411,0.0774103,g
169.42996,185.431152883084,-31.9953207416788,57112.0920314095,21.4662,0.0413408,r
169.42996,185.431152690357,-31.995321474711,57112.0940832635,21.5021,0.0556247,i
169.42996,185.431153731983,-31.9953220892716,57112.0961417411,21.6613,0.0674572,g
169.42996,185.431154164112,-31.9953216881948,57112.0982176922,21.4052,0.0355214,r
169.42996,185.431154133085,-31.9953210093788,57112.1002788693,21.2403,0.0442662,i
169.42996,185.431151314252,-31.9953208766637,57112.1023315145,21.6462,0.0593143,g
169.42996,185.431153268723,-31.9953199384451,57112.104384996,21.2549,0.0415423,r
169.42996,185.431152784536,-31.9953210994269,57112.1064376934,21.2306,0.0419961,i
169.42996,185.43115302009,-31.9953232218795,57112.1084856628,21.5496,0.0568007,g
169.42996,185.431153677801,-31.9953212425014,57112.1105448231,21.3576,0.0429465,r
169.42996,185.431153663534,-31.9953205738228,57112.1126020993,21.2121,0.0378704,i
169.42996,185.43115224833,-31.9953208691193,57112.114674266,21.4503,0.0396102,g
169.42996,185.431153157378,-31.995320703558,57112.116735403,21.3134,0.0366255,r
169.42996,185.431153393062,-31.9953210444509,57112.1187879457,21.2744,0.0338505,i
169.42996,185.431154321084,-31.9953234009702,57112.1208509314,21.529,0.0501658,g
169.42996,185.431154288798,-31.9953213197265,57112.1229040613,21.2879,0.0299033,r
169.42996,185.431153689485,-31.9953207426388,57112.1249600686,21.2498,0.0314815,i
169.42996,185.431152085946,-31.995321196536,57112.127026204,21.441,0.0382028,g
169.42996,185.431153417413,-31.9953200508266,57112.1290897587,21.2773,0.033415,r
169.42996,185.431153559802,-31.9953201523804,57112.1311622579,21.2184,0.0323053,i
169.42996,185.431154098947,-31.9953220136236,57112.1332334704,21.4072,0.0386048,g
169.42996,185.431154843616,-31.9953215734269,57112.1352987695,21.2589,0.0271946,r
169.42996,185.431153544887,-31.9953208552922,57112.1373683461,21.2164,0.0269543,i
169.42996,185.431153262147,-31.9953216218648,57112.1394425114,21.3746,0.0344832,g
169.42996,185.43115426311,-31.9953208550832,57112.1415102803,21.2283,0.0275962,r
169.42996,185.431153406547,-31.995321143611,57112.143579626,21.1355,0.0248998,i
169.42996,185.431154237483,-31.9953209422821,57112.1456425088,21.3282,0.0346842,g
169.42996,185.431154641592,-31.995321224576,57112.147696842,21.2416,0.0270945,r
169.42996,185.431154608587,-31.9953203502898,57112.1497629588,21.1159,0.026852,i
169.42996,185.431153371116,-31.9953206253631,57112.1518247547,21.203,0.0331765,g
169.42996,185.431154018817,-31.9953201844726,57112.1538882721,21.178,0.0211761,r
169.42996,185.431153895536,-31.9953208361789,57112.1559554129,21.0292,0.0258256,i
169.42996,185.431155107836,-31.9953224064179,57112.1580101843,21.2935,0.0396101,g
169.42996,185.431153834849,-31.9953219329984,57112.1600732575,21.1666,0.0247879,r
169.42996,185.43115354173,-31.9953203778369,57112.1621322692,21.0868,0.0261329,i
169.42996,185.431152781306,-31.9953209843842,57112.1641817414,21.2791,0.0289543,g
169.42996,185.431153050064,-31.9953208577763,57112.1662486,21.1565,0.024487,r
169.42996,185.43115354865,-31.99532118193,57112.168293518,21.1116,0.0230527,i
169.42996,185.431154246066,-31.9953219424031,57112.1703627612,21.2497,0.0342822,g
169.42996,185.431154171508,-31.995321723117,57112.1724268398,21.1802,0.019571,r
169.42996,185.431154163799,-31.9953208530131,57112.1744904048,21.0552,0.0287037,i
169.42996,185.431153462854,-31.9953203673006,57112.1765469979,21.1989,0.0327745,g
169.42996,185.431153067728,-31.9953203364602,57112.1786111612,21.1339,0.0303062,r
169.42996,185.431153401764,-31.9953211732501,57112.1806739429,21.0493,0.0329244,i
169.42996,185.431153806053,-31.9953214097028,57112.1827262542,21.2058,0.0336792,g
169.42996,185.431154008133,-31.9953215386124,57112.1847829507,21.1601,0.0279983,r
169.42996,185.431153541985,-31.9953209497933,57112.1868731668,21.0402,0.0282925,i
169.42996,185.43115292229,-31.9953214166168,57112.1889304817,21.2367,0.0350864,g
169.42996,185.431153003705,-31.9953202339331,57112.1909949626,21.1894,0.0280983,r
169.42996,185.431152844461,-31.9953204561188,57112.1930472967,21.1667,0.0359117,i
169.42996,185.431155495229,-31.9953222316602,57112.1951069203,21.252,0.0367954,g
169.42996,185.431154360126,-31.9953216673351,57112.1971615669,21.2065,0.0293021,r
169.42996,185.431154563282,-31.9953202842015,57112.1992208082,21.0718,0.0281892,i
169.42996,185.431152301144,-31.9953207720745,57112.202429207,21.2995,0.0420227,g
169.42996,185.431152551981,-31.9953203883955,57112.2045008005,21.1814,0.024587,r
169.42996,185.431152961884,-31.9953203595375,57112.2065643333,21.0638,0.0365309,i
169.42996,185.431154339057,-31.9953216501446,57112.2086187117,21.2885,0.0353879,g
169.42996,185.431153641284,-31.9953212850869,57112.2106790156,21.1838,0.0252892,r
169.42996,185.431154828422,-31.9953213952349,57112.2127433461,21.0415,0.036428,i
169.42996,185.431152992667,-31.9953203373627,57112.2148098918,21.325,0.0392079,g
169.42996,185.431153764149,-31.9953203354744,57112.2169187064,21.2151,0.023182,r
169.42996,185.431152739791,-31.9953208285227,57112.2189883483,21.0991,0.0284975,i
169.42996,185.431154583271,-31.9953215812024,57112.221035602,21.2882,0.0405148,g
169.42996,185.431155076161,-31.9953223478806,57112.2230936098,21.2026,0.0322117,r
169.42996,185.431153301204,-31.9953210925027,57112.2251684689,21.1119,0.0275717,i
169.42996,185.431154694823,-31.9953213697497,57112.2272404814,21.3525,0.03388,g
169.42996,185.431153283383,-31.9953201491312,57112.2293068115,21.2143,0.0244862,r
169.42996,185.431153028796,-31.9953206419095,57112.2313756989,21.1588,0.0316876,i
169.42996,185.431155386658,-31.9953217639601,57112.2334307511,21.3266,0.0368958,g
169.42996,185.431154928649,-31.995321763361,57112.2354841637,21.2482,0.0313083,r
169.42996,185.431153687605,-31.9953203143192,57112.237544294,21.1674,0.0326144,i
169.42996,185.431154701853,-31.9953214871463,57112.2396024079,21.3925,0.0381022,g
169.42996,185.431153180092,-31.995320653682,57112.241659523,21.2293,0.0292015,r
169.42996,185.431153422176,-31.995320551046,57112.2437235382,21.1624,0.0348811,i
169.42996,185.431155779071,-31.995321550271,57112.2457810603,21.3914,0.0429275,g
169.42996,185.431153633759,-31.9953213578434,57112.2478350396,21.2579,0.0242851,r
169.42996,185.431153265142,-31.9953208348994,57112.2499043494,21.1287,0.0353965,i
169.42996,185.431154648881,-31.9953206562305,57112.2519638506,21.4218,0.0459434,g
169.42996,185.431153159646,-31.9953203445907,57112.2540300149,21.3096,0.0314081,r
169.42996,185.431152602065,-31.995320116846,57112.2560811699,21.2261,0.0362208,i
169.42996,185.431155242837,-31.9953223840626,57112.2581478907,21.3769,0.0414196,g
169.42996,185.431153827254,-31.9953203240814,57112.2602302325,21.2004,0.0297035,r
169.42996,185.431154226755,-31.9953202868073,57112.2622925621,21.1102,0.031276,i
169.42996,185.431155585485,-31.9953213694219,57112.2643584521,21.5048,0.0449383,g
169.42996,185.431153085423,-31.9953204373688,57112.266421135,21.213,0.028399,r
169.42996,185.431153196615,-31.9953203385081,57112.2684782534,21.1789,0.0394173,i
169.42996,185.431157288618,-31.9953218138004,57112.2705395161,21.5256,0.0458431,g
169.42996,185.431155039567,-31.9953215384774,57112.2726020119,21.2521,0.0387329,r
169.42996,185.431153535077,-31.9953207204483,57112.274662348,21.2132,0.0411708,i
169.42996,185.431155427032,-31.9953212318865,57112.2767267385,21.4443,0.0507688,g
169.42996,185.431153247362,-31.9953206387063,57112.2788025211,21.2799,0.0329134,r
169.42996,185.43115354688,-31.9953206680712,57112.2808578499,21.2221,0.0424088,i
169.42996,185.431157883085,-31.9953228861555,57112.2829231517,21.5054,0.0454409,g
169.42996,185.431156031438,-31.9953221115026,57112.2849835483,21.2346,0.0304054,r
169.42996,185.431153312835,-31.995320848891,57112.287041347,21.1489,0.038283,i
169.42996,185.431156230604,-31.9953206850815,57112.2891034917,21.5132,0.0245316,g
169.42996,185.431155619908,-31.9953196050463,57112.2935995399,21.5189,0.0221191,g
169.42996,185.431152098575,-31.995320970615,57112.2980964635,21.5623,0.0283517,g
169.42996,185.431157571915,-31.9953228080071,57112.3025947087,21.5519,0.0208126,g
169.42996,185.43116014361,-31.9953216200423,57112.307080823,21.5702,0.0235267,g
169.42996,185.43115562681,-31.9953215102228,57112.311564181,21.5487,0.0168925,g
169.42996,185.431153804316,-31.9953206411269,57112.3160609081,21.5902,0.0186016,g
169.42996,185.431151617721,-31.9953203284435,57112.3205546974,21.5935,0.0178981,g
169.42996,185.431159630265,-31.9953226096498,57112.3250470553,21.6136,0.0142802,g
169.42996,185.431162048387,-31.9953227378345,57112.3295273837,21.5916,0.0150839,g
169.42996,185.431153491936,-31.9953200235602,57112.3340107789,21.3487,0.0172614,r
169.42996,185.431152095992,-31.9953196427445,57112.3385047391,21.3472,0.0142518,r
169.42996,185.431149992433,-31.9953201123583,57112.3430010104,21.3538,0.0142517,r
169.42996,185.431154816941,-31.9953213448624,57112.3474816992,21.3681,0.0148535,r
169.42996,185.431158890225,-31.9953220627176,57112.3562301542,21.3799,0.0192676,r
169.42996,185.431148989759,-31.9953235042484,57112.9901140789,21.6434,0.135415,g
169.42996,185.431152630206,-31.9953206653672,57112.9921785779,21.4756,0.0845867,r
169.42996,185.431152022487,-31.9953206978094,57112.9942361326,21.0894,0.0603752,i
169.42996,185.431153005927,-31.9953201863154,57112.9962952388,21.6966,0.130087,g
169.42996,185.431153884481,-31.995320629592,57112.9983574036,21.3998,0.0662248,r
169.42996,185.431154267538,-31.9953207145471,57113.0004288466,21.1989,0.0612013,i
169.42996,185.431149592191,-31.9953211496573,57113.0024910984,21.4407,0.0921869,g
169.42996,185.431151777781,-31.995320678846,57113.0045547951,21.2382,0.102247,r
169.42996,185.43115326298,-31.9953196341828,57113.0066185347,21.1984,0.0692606,i
169.42996,185.431152497381,-31.9953236970981,57113.008679552,21.5346,0.0983194,g
169.42996,185.431154021858,-31.9953209471031,57113.010728803,21.5541,0.0643182,r
169.42996,185.431152573138,-31.995320477792,57113.0127861621,21.3873,0.061305,i
169.42996,185.431150247454,-31.9953210533439,57113.0148468614,21.5345,0.0894727,g
169.42996,185.431151282665,-31.995320068218,57113.0169224292,21.3017,0.0571946,r
169.42996,185.431151946406,-31.9953199480027,57113.0189887201,21.0923,0.0610983,i
169.42996,185.431153754589,-31.9953229979253,57113.0210399167,21.7931,0.108071,g
169.42996,185.431153358067,-31.9953208703808,57113.0231067403,21.3219,0.0562915,r
169.42996,185.431153623051,-31.995321540295,57113.0251851259,21.3382,0.0552103,i
169.42996,185.431149715062,-31.9953212177538,57113.0272604143,21.8176,0.122045,g
169.42996,185.431151880027,-31.9953197594409,57113.0293282527,21.4183,0.0547862,r
169.42996,185.431152085059,-31.9953201877281,57113.0313888895,21.2196,0.0510793,i
169.42996,185.431151296259,-31.9953224877096,57113.0334437224,21.6844,0.103246,g
169.42996,185.431151393833,-31.9953210876928,57113.0355091118,21.4146,0.0562912,r
169.42996,185.431153184489,-31.9953193683786,57113.0375804994,21.3,0.0511827,i
169.42996,185.431149701347,-31.9953214197256,57113.0396616547,21.7557,0.0919866,g
169.42996,185.431151895995,-31.995319988696,57113.0417196574,21.3237,0.043649,r
169.42996,185.431152744469,-31.9953201993849,57113.0437751934,21.3096,0.0439567,i
169.42996,185.431151390634,-31.995321805207,57113.0458458127,21.8562,0.0948018,g
169.42996,185.43115146894,-31.9953206203486,57113.0479078665,21.4192,0.0488662,r
169.42996,185.431152126446,-31.9953209308857,57113.0499607623,21.2804,0.0452983,i
169.42996,185.431149347258,-31.995321116443,57113.0520139835,21.7623,0.0992247,g
169.42996,185.43115007601,-31.9953208167985,57113.054082945,21.4432,0.0579969,r
169.42996,185.431151020338,-31.9953200497426,57113.0561462198,21.2585,0.0553134,i
169.42996,185.431153925111,-31.9953225069139,57113.0582042481,21.8203,0.101034,g
169.42996,185.4311527054,-31.9953217137394,57113.0602711248,21.5486,0.0741514,r
169.42996,185.431152922144,-31.995320410514,57113.0623387429,21.415,0.0499443,i
169.42996,185.431150331448,-31.9953210963035,57113.0644118874,21.876,0.0955056,g
169.42996,185.431152550449,-31.9953203245709,57113.0664714649,21.3627,0.056492,r
169.42996,185.431153405461,-31.9953201015107,57113.0685326029,21.3117,0.0447823,i
169.42996,185.431151023652,-31.99532124475,57113.0705967946,21.8177,0.0983201,g
169.42996,185.431152311806,-31.9953210100632,57113.0726664457,21.4102,0.0526791,r
169.42996,185.43115291263,-31.9953216256544,57113.0747223157,21.377,0.0473631,i
169.42996,185.431151121773,-31.9953201823815,57113.076787374,21.8701,0.093495,g
169.42996,185.431152180599,-31.995320192917,57113.0788547844,21.3977,0.0523781,r
169.42996,185.431152575367,-31.9953206514995,57113.0809102701,21.3658,0.0452986,i
169.42996,185.431153618873,-31.995321731649,57113.082968473,21.757,0.0801242,g
169.42996,185.431152480678,-31.9953206858997,57113.0850310172,21.4187,0.0465585,r
169.42996,185.431153008227,-31.9953208030264,57113.0870948173,21.3131,0.0420994,i
169.42996,185.431150701041,-31.9953202321565,57113.0891561355,21.8557,0.0817331,g
169.42996,185.431153143312,-31.9953197661606,57113.0912307114,21.4378,0.0417422,r
169.42996,185.431152781477,-31.9953199458026,57113.0932962582,21.3446,0.0426155,i
169.42996,185.431152619477,-31.9953208281628,57113.0953548895,21.8514,0.0845478,g
169.42996,185.431152542777,-31.9953199067309,57113.097427648,21.4407,0.0407388,r
169.42996,185.431152087007,-31.9953205807735,57113.0994997565,21.3899,0.0475696,i
169.42996,185.431151081392,-31.9953208620104,57113.1015617354,21.788,0.0714788,g
169.42996,185.43115260972,-31.9953203317522,57113.1036217972,21.4894,0.0382303,r
169.42996,185.431152272705,-31.9953207389411,57113.1056798389,21.3269,0.0394175,i
169.42996,185.431153043121,-31.9953225171777,57113.1077437182,21.7832,0.0708757,g
169.42996,185.43115282128,-31.9953204434176,57113.1098039979,21.514,0.0511739,r
169.42996,185.43115157318,-31.9953210700024,57113.1118581882,21.3805,0.0498408,i
169.42996,185.43115157194,-31.9953208969438,57113.113919788,21.7733,0.0798226,g
169.42996,185.431152879187,-31.9953194242761,57113.1159779117,21.4708,0.0488661,r
169.42996,185.43115290368,-31.9953198158906,57113.1180458139,21.3823,0.0470534,i
169.42996,185.431152515729,-31.9953218088799,57113.120110068,21.8777,0.0818337,g
169.42996,185.431153458168,-31.9953205633559,57113.1221680497,21.4914,0.0469597,r
169.42996,185.431152719265,-31.9953205751193,57113.1242293105,21.3343,0.0506665,i
169.42996,185.431152931056,-31.9953211296952,57113.126287811,21.8755,0.082839,g
169.42996,185.431152910855,-31.9953202091896,57113.1283426615,21.4167,0.0386318,r
169.42996,185.431152613341,-31.9953197683407,57113.1304061976,21.3966,0.0395211,i
169.42996,185.431152617207,-31.9953223802486,57113.1324666478,21.8842,0.0635377,g
169.42996,185.431152554423,-31.9953205476778,57113.1345271338,21.5573,0.0423442,r
169.42996,185.431152808504,-31.9953204085782,57113.1365877204,21.3261,0.0364272,i
169.42996,185.43115184217,-31.9953207933695,57113.1386509854,21.8943,0.0727863,g
169.42996,185.431153135503,-31.9953203952517,57113.1407078803,21.4713,0.0292001,r
169.42996,185.431152352987,-31.9953204745392,57113.1427563825,21.3831,0.039521,i
169.42996,185.431153312113,-31.9953215422868,57113.1448182962,21.9365,0.0640407,g
169.42996,185.431153500962,-31.9953184786595,57113.1468781829,21.5239,0.0408391,r
169.42996,185.431151793743,-31.9953201216046,57113.1489533307,21.4085,0.0357064,i
169.42996,185.431152688913,-31.9953211988037,57113.1510274718,21.8237,0.0665532,g
169.42996,185.431152583142,-31.9953201215044,57113.153092098,21.4834,0.0408391,r
169.42996,185.431152491903,-31.9953199847685,57113.1551505364,21.4464,0.0376655,i
169.42996,185.431153370894,-31.9953226324551,57113.1572235022,21.9688,0.0714799,g
169.42996,185.431153680242,-31.9953215173527,57113.1592735983,21.5545,0.0451536,r
169.42996,185.431152395695,-31.9953210892278,57113.1613369714,21.4256,0.0402434,i
169.42996,185.431152436685,-31.9953210172387,57113.1633889801,21.9951,0.0744959,g
169.42996,185.431152412269,-31.9953192451026,57113.165452776,21.5086,0.0451536,r
169.42996,185.431152464595,-31.995320192254,57113.1675098389,21.4422,0.0382841,i
169.42996,185.43115323502,-31.995321593745,57113.1695818896,21.8686,0.0793204,g
169.42996,185.431153792871,-31.9953203318849,57113.1716450178,21.48,0.0459563,r
169.42996,185.431152581004,-31.9953211808946,57113.1737005888,21.4319,0.041275,i
169.42996,185.431153005732,-31.9953209438648,57113.1757552354,21.936,0.0759029,g
169.42996,185.431151800052,-31.9953207041803,57113.1778222062,21.4983,0.0383307,r
169.42996,185.431152624784,-31.9953202965148,57113.1798879658,21.4722,0.0501513,i
169.42996,185.431153051233,-31.9953217385345,57113.1819498767,21.8378,0.0725849,g
169.42996,185.431152572827,-31.9953202288538,57113.1840014923,21.528,0.0474614,r
169.42996,185.431152337315,-31.9953169449057,57113.1860535438,21.5523,0.0575877,i
169.42996,185.431153022572,-31.9953192672586,57113.1881112047,21.8565,0.0767067,g
169.42996,185.431152321136,-31.9953201441678,57113.1901765005,21.5908,0.0479631,r
169.42996,185.431152168854,-31.9953199545856,57113.1922291555,21.4384,0.0380778,i
169.42996,185.431153492066,-31.9953231171383,57113.1942804926,22.0094,0.0963105,g
169.42996,185.431153080525,-31.9953204777786,57113.1963427654,21.5513,0.0433475,r
169.42996,185.431152511074,-31.9953195426241,57113.199532371,21.4307,0.0510802,i
169.42996,185.431154034666,-31.9953200620753,57113.2015851247,21.9025,0.0814317,g
169.42996,185.43115373974,-31.9953198408515,57113.2036546273,21.556,0.0506722,r
169.42996,185.431151809338,-31.9953201664057,57113.2057238403,21.4172,0.0476731,i
169.42996,185.431154318166,-31.9953213513809,57113.2077859771,21.8733,0.0911828,g
169.42996,185.431153364032,-31.9953205506892,57113.2098460374,21.4892,0.0429462,r
169.42996,185.431152870556,-31.9953198147855,57113.2119120779,21.3988,0.0441637,i
169.42996,185.431153463174,-31.9953210291197,57113.2139746454,21.858,0.0782146,g
169.42996,185.431152371489,-31.9953195579664,57113.216037936,21.5304,0.0490668,r
169.42996,185.431153039997,-31.9953201973338,57113.2180873109,21.3487,0.0403459,i
169.42996,185.431153151165,-31.9953221582248,57113.2201495129,21.8905,0.0760031,g
169.42996,185.431152097983,-31.9953199666351,57113.2222015252,21.4664,0.0380297,r
169.42996,185.431152448342,-31.9953202929334,57113.2242993317,21.4583,0.0459187,i
169.42996,185.431152743713,-31.9953198614917,57113.2263534768,21.9277,0.0748976,g
169.42996,185.431152150692,-31.9953206899293,57113.2284207181,21.5631,0.0422438,r
169.42996,185.431152008329,-31.9953195379735,57113.2304787794,21.4234,0.0355004,i
169.42996,185.431152981129,-31.9953221384268,57113.2325369655,21.9958,0.078718,g
169.42996,185.431153010218,-31.9953200811336,57113.2345959186,21.4676,0.037528,r
169.42996,185.431151864471,-31.9953204921215,57113.2366703586,21.4665,0.0421007,i
169.42996,185.431153072595,-31.9953205079783,57113.2387264888,21.9075,0.0709769,g
